CountryName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Gambia, The",37.824,38.685,39.556,40.429,41.293,42.146,42.989,43.827,44.66,45.483,46.293,47.087,47.86,48.603,49.308,49.958,50.537,51.042,51.476,51.849,52.176,52.481,52.786,53.11,53.461,53.844,54.254,54.676,55.097,55.513,55.924,56.329,56.732,57.132,57.527,57.914,58.289,58.648,58.991,59.316,59.622,59.911,60.187,60.452,60.707,60.954,61.193
Greece,70.90363415,71.22656098,71.535,71.81485366,72.06463415,72.29370732,72.51956098,72.76165854,73.03107317,73.32936585,73.64714634,73.9694878,74.279,74.56585366,74.82912195,75.0785122,75.32970732,75.59814634,75.8912439,76.68780488,76.93902439,77.13658537,77.38292683,77.3902439,77.63902439,77.58536585,77.68536585,78.13658537,77.83902439,77.98780488,77.88780488,78.38780488,78.64146341,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.03658537
Indonesia,54.537,55.1,55.655,56.197,56.726,57.24,57.742,58.23,58.707,59.171,59.618,60.045,60.451,60.836,61.203,61.555,61.899,62.241,62.583,62.929,63.281,63.638,63.998,64.353,64.701,65.032,65.339,65.617,65.866,66.087,66.285,66.467,66.643,66.82,67.002,67.191,67.386,67.581,67.775,67.964,68.15,68.331,68.509,68.684,68.856,69.025,69.191
Ireland,71.03143902,71.12853659,71.2322439,71.34556098,71.47202439,71.61660976,71.78278049,71.969,72.17373171,72.39346341,72.6232439,72.85609756,73.08807317,73.31368293,73.53146341,73.74236585,73.95141463,74.16253659,74.37770732,74.59590244,74.80909756,75.00526829,75.18095122,75.33612195,75.47680488,75.61756098,75.83170732,75.98536585,76.1804878,76.08292683,76.53658537,77.13414634,77.63414634,78.13902439,78.53902439,78.94390244,79.24146341,79.64146341,80.09512195,80.1902439,80.74390244,80.74634146,80.84634146,81,81.34878049,81.45365854,81.60731707
Japan,71.9502439,72.88292683,73.50658537,73.75756098,74.39390244,75.05731707,75.45682927,75.89829268,76.03829268,76.33756098,76.09170732,76.41439024,76.92292683,76.96146341,77.36536585,77.6504878,78.06463415,78.48365854,78.39926829,78.81804878,78.83682927,79.10073171,79.15390244,79.29365854,79.68707317,79.53634146,80.2002439,80.42414634,80.50146341,80.57073171,81.07609756,81.41707317,81.56341463,81.76,82.0302439,81.92512195,82.32195122,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805
"Korea, Rep.",62.16341463,62.61219512,63.0097561,63.40731707,63.80487805,64.15365854,64.50243902,64.9,65.19756098,65.54634146,66.04634146,66.54634146,67.09512195,67.54634146,68.19512195,68.79512195,69.44634146,69.99756098,70.54878049,71.04878049,71.59756098,72.04634146,72.49756098,72.99756098,73.39756098,73.7,74.15121951,74.60243902,75.00487805,75.4097561,75.9097561,76.41219512,76.76585366,77.21463415,77.66585366,78.16829268,78.66829268,79.1195122,79.51707317,79.96829268,80.11707317,80.56829268,80.8195122,81.27073171,81.72195122,82.02439024,82.02439024
Kuwait,66.027,66.453,66.857,67.241,67.607,67.958,68.298,68.628,68.949,69.263,69.573,69.878,70.178,70.47,70.752,71.021,71.273,71.505,71.717,71.908,72.079,72.232,72.369,72.496,72.613,72.722,72.824,72.917,73.004,73.084,73.16,73.232,73.3,73.367,73.434,73.505,73.584,73.67,73.764,73.868,73.979,74.096,74.217,74.338,74.458,74.577,74.694
Lesotho,49.037,49.309,49.634,50.006,50.426,50.896,51.418,51.985,52.582,53.196,53.807,54.396,54.949,55.462,55.931,56.395,56.905,57.48,58.098,58.708,59.206,59.464,59.394,58.944,58.112,56.902,55.351,53.584,51.75,49.971,48.405,47.195,46.394,46.021,46.078,46.521,47.266,48.171,49.112,50.014,50.826,51.53,52.158,52.738,53.268,53.745,54.174
Morocco,52.572,52.94,53.305,53.676,54.066,54.492,54.976,55.525,56.141,56.823,57.56,58.339,59.139,59.937,60.717,61.469,62.189,62.878,63.536,64.158,64.733,65.253,65.716,66.129,66.502,66.848,67.184,67.526,67.889,68.284,68.722,69.209,69.738,70.296,70.873,71.456,72.029,72.58,73.097,73.572,73.999,74.377,74.717,75.026,75.309,75.573,75.821
Mauritius,63.11804878,63.25334146,63.43995122,63.68553659,63.99997561,64.39053659,64.85563415,65.37243902,65.91331707,66.45578049,66.96539024,67.40739024,67.76536585,68.03760976,68.23036585,68.37068293,68.49936585,68.6555122,68.86302439,69.12402439,69.40487805,69.95609756,70.05853659,70.10731707,70.15853659,70.32585366,70.32292683,70.40487805,70.60731707,70.96097561,71.66341463,71.76585366,71.96585366,72.12130081,72.27674797,72.43219512,72.43219512,72.57073171,72.57073171,72.88243902,72.96731707,73.26682927,73.86341463,74.01707317,74.19439024,74.35317073,74.39487805
