Country Name,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Netherlands,,90.61831665,93.01502228,86.56236267,95.82034302,99.20709991,99.51300049,98.27436829,99.72727966,96.7525177
Norway,,,99.17533875,96.36161041,99.73066711,98.19120789,99.70516205,98.5114975,99.079422,99.76589203
New Zealand,99.97071075,99.55983734,99.47348022,99.57958221,99.52082062,98.5120697,99.0388031,99.10079193,99.46865845,97.73030853
Oman,,26.28963089,,57.37023163,67.16255951,75.65466309,83.95884705,,,97.76172638
Panama,74.35031128,88.82997894,88.13562012,85.03972626,86.61984253,,94.8825531,98.16667175,96.20449829,87.66281891
Peru,76.47667694,,85.57492065,95.42540741,,88.54277802,99.95320129,98.94290924,98.87753296,97.88999939
Philippines,,,,94.4155426,98.44171906,,,88.96257019,,96.22158813
Portugal,,,95.50491333,99.45218658,99.7066803,99.48220062,97.02278137,99.27223969,99.48989105,97.1465683
Paraguay,79.9347229,78.98892975,86.05001831,87.8990097,92.97115326,91.70462036,97.86222839,95.42904663,89.65869141,
Qatar,,,96.09722137,91.40313721,85.60555267,,96.18775177,99.28669739,95.41886902,96.57369232
Senegal,,,34.43650055,41.02276993,44.77196884,,58.0989418,64.01230621,71.25119019,74.18997192
Slovenia,,,,,,92.86786652,95.55307007,98.68744659,97.99806976,98.0305481
Sweden,,,,,99.51596069,98.83807373,99.42556,95.39293671,99.38350677,99.63126373
Swaziland,55.77222061,63.9143486,69.84242249,73.95539093,74.34575653,75.10108185,,,79.53273773,76.28150177
Syrian Arab Republic,,83.73303986,85.78520966,89.81324005,94.73268127,96.46909332,96.86071014,99.19528961,98.92807007,
Chad,,24.1805191,,,,,51.46944046,,,
Togo,,,71.90184784,58.01408005,64.47058105,71.48477936,85.38487244,91.38809204,,96.57074738
Timor-Leste,,,,,,,,,87.31932068,84.98944092
Tonga,87.6900177,97.2842865,,96.98317719,92.28523254,,,98.82917023,,
Tunisia,,75.79849243,81.44110107,92.32026672,93.94593048,96.42446136,95.43820953,98.87223816,99.63455963,
Turkey,,,,91.98293304,96.02133942,91.64530945,95.85532379,97.79316711,96.06362915,94.97289276
Tanzania,,,69.86831665,56.4621315,51.32563019,48.60242081,52.50188828,88.26358032,87.71476746,
Uruguay,,,,88.25395203,,92.54347229,,97.563797,99.8423996,97.69772339
United States,,81.58202362,,,98.64874268,97.03784943,95.64801025,93.33982849,93.87744141,93.63775635
"Venezuela, RB",,70.65112305,,,,,87.48577118,90.87671661,93.60395813,91.99668121
Vietnam,,,,91.145401,,,97.37001801,90.11804962,98.1388092,
World,72.23847961,76.79070282,78.05299377,80.27330017,82.40090179,82.26151276,84.88690948,88.68218231,90.63243866,91.02166748
Zambia,,,78.59810638,,,71.51112366,66.64022064,89.19946289,84.57518005,
