Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Botswana,43.33459854,40.5593605,42.13240814,45.53311157,49.78664017,56.18735886,60.68954849,64.95290375,65.99488831,67.73943329,72.02095032,76.3055191,,80.23368073,80.59809875,82.54953003,83.63545227,84.52101135,84.98253632,85.51602173,85.00489044,87.02613068,86.46166992,86.20854187,86.48709106,78.72177124,79.86946869,,83.63067627,83.12773895,84.2286911,85.81043243,85.96166229,85.94299316,86.72714233,85.8508606,86.93456268,86.19966125,85.73587036,86.5010376,,,92.83017731,93.5249176,89.5216217,,,
Central African Republic,,49.8220787,52.32555008,54.50529099,,,,50.64833832,50.47077179,,,55.24798965,56.8728714,58.52471161,,,61.03244019,50.62699127,48.3279686,48.3828392,57.26208115,52.95280838,,,,,,,,,,,,,,47.76794052,48.21057892,56.21570969,65.09037018,65.41486359,67.67938995,65.73605347,68.35221863,,,,,
Canada,,,,,,,,,,,,,95.56710815,95.29425812,94.72662354,94.57524109,94.88964081,94.95413208,94.94940948,95.18415833,95.18572998,97.73861694,97.48632813,95.86266327,95.30892181,94.18283081,95.11089325,,98.43271637,99.70514679,99.91953278,,,,,,,,,,,,99.47058868,99.44992065,99.4045105,99.59809875,99.96224213,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.10933685,96.51741791,95.86947632,95.84606171,95.75811005,95.33235931,95.13677216,94.80280304,94.48425293,94.53948212,95.13716125,95.51779938,95.60626984,95.85523987,95.53324127,95.48139954,95.13529205,94.79180145,94.62329102,94.58496094,
Switzerland,,,,,,,,75.65157318,76.18498993,,,77.13974762,77.10378265,76.73268127,76.20934296,76.14981842,76.56069183,77.74510193,79.52866364,81.58158112,83.2928009,84.09174347,84.12696075,83.32559967,82.43993378,88.86615753,90.79218292,,,99.48297119,99.29759216,99.22428894,99.22675323,99.22953796,98.81881714,97.97099304,97.63191986,97.78066254,98.53327179,99.0270462,99.09284973,99.23538208,99.21234131,99.6325531,99.64427185,99.6264801,99.75994873,
Cote d'Ivoire,,,,,,,,48.77513885,,,,,,,,,,,,,,47.71636963,48.07794952,,,,53.57624054,54.71443176,,56.82820892,55.93252945,60.02846909,60.20069122,55.77922821,,,,,,56.08113098,,,,69.3625412,73.96507263,77.70365906,87.65058136,
Cameroon,,64.48171234,63.41427994,61.65443039,59.53847885,66.16188812,67.69281006,66.40947723,67.76593018,68.71550751,68.95677948,,,,,,,,74.84037781,,73.97164154,72.06874084,,,,,,,,,,,,,,,,,86.52435303,89.22129059,,91.09130096,94.1346283,,94.79718018,,95.27401733,
"Congo, Dem. Rep.",,69.31825256,67.56458282,,,70.22427368,,,,73.19985962,,,,75.68202972,76.29682922,,,,64.5491333,,,61.42882156,59.73188019,58.6806488,59.8612709,67.83577728,,,,36.81180954,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,82.22534943,,88.53553772,,91.56787872,,95.10714722,95.35368347,87.22598267,86.22138977,86.75990295,87.18044281,88.4095993,,,,,,,,,,,,,,,,,,,,,51.33324814,54.62998962,,,,84.46897888,,87.22045898,,,,,
Colombia,,,,,,,,,,,,,70.71721649,,69.00231934,67.64785004,65.55861664,66.05493927,65.63757324,65.41490936,,67.92733765,75.54685211,76.41100311,77.52095795,81.03540039,86.2767868,,93.92675781,96.3398819,97.53765106,97.08447266,97.58325195,,97.19075775,97.45558929,96.38913727,95.77774048,96.28751373,96.85224915,97.22104645,97.3189621,94.35066223,93.0787735,92.25811768,93.16819,93.58117676,
Comoros,,,,,,,,,,,,,,87.33049011,,,83.48227692,75.62851715,,,,,,,69.22219086,,,,,60.79396057,67.49472809,,,,,,,79.1741333,,,,,,86.71475983,82.7173996,,,
Cabo Verde,,,,,,,,,,,,88.93211365,87.46224213,84.39958191,90.86737823,93.67754364,94.94661713,96.10188293,99.56118774,,99.19792938,,,,99.12538147,,,,99.79686737,,99.60141754,98.34111786,97.93901825,97.27890015,95.32343292,94.61810303,93.59686279,92.01374054,89.92479706,88.52858734,87.50811005,86.55857086,87.09335327,86.76120758,86.95477295,87.03650665,86.41023254,
Costa Rica,87.66596222,,89.7166214,90.57478333,,90.26998901,91.78967285,,90.26940155,88.97730255,89.21460724,89.92526245,88.34924316,,,86.08490753,87.11356354,87.3423996,,87.72734833,87.73358917,88.28701782,90.34648132,91.13864899,90.73327637,92.44824982,94.9134903,,,,,,,,,,,,,,,99.43657684,99.47020721,98.47241211,96.35848999,96.5165329,96.79007721,
Caribbean small states,93.71273041,94.10043335,94.53337097,94.6328125,95.29052734,92.97868347,91.56916809,93.48127747,93.41940308,93.36591339,91.93032074,92.68018341,94.04057312,94.43785858,94.12316132,94.08830261,93.89851379,95.49410248,94.9790802,96.35752106,94.58863068,92.79152679,92.51802063,91.85668182,92.11456299,92.49481201,92.61200714,92.62175751,93.30039215,93.5568924,93.53639984,92.80635071,91.68228149,91.51570892,92.87283325,92.68798065,92.74913788,93.25272369,94.30361176,93.939888,94.54807281,94.54548645,94.44844818,94.3111496,,,,
Cuba,,,92.95839691,94.50691986,95.41500092,,,,,98.3480072,97.61106873,95.41705322,94.3432312,94.44789124,92.96853638,91.24102783,91.53833008,93.06735229,92.84499359,92.92427826,92.49028778,92.08705139,94.26909637,95.08570099,97.37866211,97.26618195,99.21637726,98.96481323,98.68567657,98.81633759,98.13375854,97.40683746,96.96852112,94.94387817,94.66700745,94.43775177,94.50855255,96.69979858,97.61386871,99.81890106,99.95024872,99.99642181,99.60027313,99.56889343,96.56259918,95.46157074,,
