Country Name,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Malaysia,64.445,66.383,68.044,69.482,70.727,71.813,72.8,73.463,74.21,75.143
North America,70.9854796,72.69384248,73.7528378,74.73448283,75.43126468,75.85584528,76.89243196,77.76444426,78.80461908,79.03588312
Niger,35.884,36.905,38.962,41.24,43.54,46.659,49.874,53.127,56.838,59.667
Nicaragua,53.685,56.545,58.509,60.67,64.169,67.411,69.742,71.935,73.699,75.149
Netherlands,73.58560976,74.49878049,75.74317073,76.28463415,76.87804878,77.40463415,77.98780488,79.34634146,80.70243902,81.5097561
Norway,74.08804878,74.81756098,75.67170732,75.91682927,76.53731707,77.73658537,78.63414634,80.04146341,80.99756098,82.30487805
New Zealand,71.27317073,72.2195122,72.82926829,73.82926829,75.37804878,76.73414634,78.63658537,79.85121951,80.70243902,81.45682927
Oman,50.31,54.755,59.758,63.915,67.181,69.771,72.126,74.231,75.694,76.801
Panama,65.529,68.028,70.194,71.734,72.987,74.09,75.084,75.947,76.828,77.806
Peru,53.457,57.099,60.065,62.962,65.541,68.026,70.512,72.473,73.681,74.747
Philippines,60.832,61.544,62.155,63.798,65.256,66.265,67.17,67.783,68.32,68.951
Portugal,67.07317073,68.3097561,71.21463415,72.81463415,73.96585366,75.31219512,76.31463415,78.07073171,79.02682927,81.12439024
Paraguay,65.486,66.243,66.793,67.304,68.014,68.911,70.07,71.281,72.285,73.023
Qatar,68.313,70.877,72.649,74.017,74.984,75.678,76.279,76.754,77.301,78.036
Senegal,39.227,43.521,48.944,53.914,57.202,57.405,57.796,60.541,64.177,66.784
Slovenia,68.6097561,70.35853659,71.10487805,71.35121951,73.20487805,73.95853659,75.41219512,77.61219512,79.42195122,80.77560976
Sweden,74.64926829,74.98463415,75.74097561,76.66780488,77.53682927,78.7404878,79.64390244,80.54634146,81.45121951,82.20487805
Swaziland,48.041,51.057,54.348,58.208,60.369,56.464,48.521,46.185,51.598,57.107
Syrian Arab Republic,58.814,62.579,65.774,68.508,70.553,71.961,73.11,74.43,72.108,69.904
Chad,41.332,43.327,44.704,46.082,46.952,47.431,47.593,48.054,50.233,52.575
Togo,46.568,49.537,52.339,54.673,55.888,54.756,53.489,54.598,57.465,59.949
Timor-Leste,39.528,35.092,34.419,43.481,48.469,53.696,59.36,64.175,67.313,68.569
Tonga,64.876,66.28,67.476,68.716,69.603,70.164,70.811,71.504,72.173,72.88
Tunisia,51.145,56.795,62,65.834,68.788,71.496,73.155,74.2,74.793,75.525
Turkey,52.286,55.387,58.667,61.682,64.256,66.963,70.008,72.481,74.154,75.498
Tanzania,46.718,48.891,50.429,50.904,50.206,49.46,51.493,56.196,60.893,64.95
Uruguay,68.617,69.087,70.255,71.584,72.571,73.613,74.805,75.792,76.588,77.341
United States,70.80731707,72.60487805,73.6097561,74.56341463,75.21463415,75.62195122,76.63658537,77.48780488,78.54146341,78.6902439
"Venezuela, RB",64.569,66.63,68.114,69.133,69.804,70.893,72.281,73.134,73.625,74.367
Vietnam,59.571,61.458,67.553,68.982,70.536,71.968,73.265,74.263,75.117,76.052
World,58.65334822,61.04644453,62.86658706,64.2667536,65.4351536,66.32317923,67.6849978,69.1362133,70.68292582,71.85712676
Zambia,49.039,51.089,51.265,48.661,45.003,43.166,44.702,49.63,56.588,61.397
